101,453
104,592
105,796
106,1276
111,44
118,19
119,40
121,5
122,49
123,82
124,331
125,221
127,44
128,113
135,82
136,215
137,63
138,93
211,202
213,392
214,272
215,156
216,189
217,247
219,1331
220,629
221,222
226,216
227,168
228,247
229,160
230,540
231,745
233,292
234,58
235,580
236,295
237,333
238,199
239,26
301,11494
402,227
403,288
412,376
415,99
417,246
418,51
419,96
420,93
423,73
425,95
426,40
427,223
428,111
429,40
430,35
432,16
434,8
436,9
437,29
438,7
439,7
441,15
501,231
502,322
511,38
512,14
513,23
514,19
515,38
516,57
517,76
519,33
520,39
521,62
522,44
528,151
529,88
532,97
533,113
534,162
536,58
538,69
540,25
541,5
542,48
543,12
544,24
545,14
602,1216
604,326
605,488
612,103
615,9
616,18
617,27
618,18
619,40
620,32
621,23
622,27
623,194
624,269
625,415
626,299
627,280
628,134
631,19
632,5
633,24
701,498
702,144
704,637
706,800
709,413
711,116
713,117
714,38
716,120
719,76
720,162
722,239
723,59
728,19
805,648
806,1152
807,212
811,20
814,240
815,194
817,72
819,73
821,73
822,49
826,54
827,17
828,31
829,22
830,17
831,12
833,20
834,30
901,117
904,458
906,962
911,46
912,28
914,107
919,135
926,124
928,71
929,12
935,11
937,42
938,11
940,10
941,12
1001,1768
1002,261
1003,114
1004,129
1014,262
1017,114
1018,217
1021,32
1026,9
1027,15
1029,72
1032,96
1034,21
1037,62
1046,8
1101,334
1102,1971
1103,3245
1106,1047
1111,51
1112,33
1114,35
1119,311
1120,399
1121,348
1122,275
1124,635
1127,226
1129,11
1130,272
1133,27
1134,18
1135,46
1141,32
1142,71
1144,6
1145,15
1146,147
1149,855
1151,1
1160,120
1201,4566
1211,41
1216,74
1219,195
1221,405
1222,29
1223,33
1224,247
1227,9
1228,93
1231,21
1232,9
1233,10
1234,16
1235,124
1238,101
1241,41
1242,31
1243,296
1244,50
1245,139
1246,498
1247,413
1251,42
1252,8
1253,97
1256,127
1259,117
1260,105
1263,306
1264,61
1265,11
1266,12
1401,191
1411,29
1412,4
1413,32
1416,56
1417,17
1418,11
1419,7
1420,64
1421,15
1422,22
1424,44
1426,26
1428,51
1429,11
1430,14
1431,27
1432,110
1433,24
1438,53
1439,71
1441,26
1443,55
1444,6
1445,26
1449,77
1502,277
1504,768
1505,547
1511,38
1514,44
1515,151
1516,185
1517,114
1519,106
1520,140
1523,38
1524,20
1525,67
1526,13
1528,66
1529,62
1531,88
1532,91
1534,155
1535,163
1539,129
1543,48
1545,30
1546,9
1547,73
1548,158
1551,44
1554,63
1557,33
1560,34
1563,80
1566,62
1567,15
1571,29
1573,21
1576,31
1601,2512
1612,53
1613,8
1617,63
1620,58
1621,66
1622,24
1624,183
1627,59
1630,32
1632,23
1633,7
1634,65
1635,16
1636,43
1638,150
1640,52
1644,19
1648,89
1653,167
1657,81
1662,94
1663,177
1664,39
1665,10
1702,280
1703,142
1711,36
1714,302
1717,20
1718,54
1719,290
1721,250
1724,51
1725,18
1736,15
1738,14
1739,0
1740,15
1742,16
1743,4
1744,30
1748,6
1749,10
1750,61
1751,42
1755,1
1756,83
1804,597
1805,254
1811,10
1812,14
1813,129
1815,16
1816,5
1818,19
1820,97
1822,26
1824,168
1825,13
1826,11
1827,8
1828,22
1832,32
1833,293
1834,19
1835,8
1836,9
1837,87
1838,14
1839,7
1840,70
1841,134
1845,21
1848,28
1849,26
1850,23
1851,21
1852,10
1853,13
1854,30
1856,12
1857,16
1859,31
1860,195
1865,99
1866,129
1867,56
1868,129
1870,172
1871,97
1874,27
1902,814
1903,289
1911,34
1913,32
1917,14
1919,9
1920,10
1922,27
1923,28
1924,40
1925,33
1926,16
1927,11
1928,20
1929,7
1931,93
1933,44
1936,23
1938,38
1939,10
1940,30
1941,35
1942,72
1943,19
2002,42
2003,83
2004,175
2011,74
2012,229
2014,10
2015,45
2017,17
2018,33
2019,61
2020,49
2021,43
2022,31
2023,33
2024,18
2025,45
2027,14
2028,86
2030,153
