101,30544
104,32182
105,54678
106,78967
111,4511
118,1404
119,3610
121,672
122,5343
123,5736
124,15615
125,11396
127,3742
128,8084
135,7357
136,15458
137,5186
138,5382
211,16732
213,30261
214,18992
215,15695
216,18623
217,26792
219,122348
220,60106
221,15914
226,17443
227,11374
228,17426
229,10870
230,36368
231,52522
233,22857
234,6323
235,34189
236,20783
237,23811
238,12267
239,2837
301,658390
402,17835
403,30120
412,33597
415,7588
417,20119
418,5131
419,7901
420,6142
423,4763
425,7456
426,3760
427,21030
428,6525
429,4429
430,2600
432,1881
434,1305
436,1620
437,5580
438,2426
439,1592
441,1956
501,27476
502,30137
511,2701
512,2055
513,2204
514,2347
515,3664
516,5741
517,5935
519,3154
520,4462
521,5072
522,6227
528,14906
529,13180
532,6629
533,9044
534,13695
536,5758
538,6751
540,3058
541,1321
542,6458
543,2168
544,3220
545,1590
602,67895
604,27013
605,29801
612,6767
615,1074
616,3422
617,4578
618,2422
619,4711
620,4497
621,3512
622,2275
623,13794
624,18205
625,24431
626,25731
627,21492
628,9413
631,2699
632,1404
633,2548
701,27178
702,10741
704,42276
706,45820
709,43867
711,6604
713,9297
714,3163
716,9361
719,5937
720,11657
722,21621
723,4971
728,2474
805,35955
806,53952
807,12717
811,2335
814,14088
815,10607
817,4136
819,6534
821,6101
822,4338
826,5940
827,1613
828,2991
829,2448
830,1443
831,1323
833,2246
834,3727
901,6920
904,22550
906,44313
911,2473
912,2036
914,6014
919,5618
926,10577
928,5147
929,1847
935,1317
937,3582
938,1204
940,1242
941,945
1001,88447
1002,15529
1003,9705
1004,9096
1014,14308
1017,6419
1018,11260
1021,2290
1026,942
1027,1750
1029,4943
1032,8497
1034,1702
1037,5981
1046,1832
1101,14942
1102,74820
1103,132644
1106,36951
1111,3313
1112,3243
1114,2825
1119,18591
1120,18970
1121,18572
1122,11853
1124,26096
1127,10737
1129,1238
1130,12464
1133,2737
1134,3903
1135,4710
1141,3221
1142,4856
1144,524
1145,865
1146,10925
1149,42187
1151,200
1160,8788
1201,277391
1211,4106
1216,5593
1219,11778
1221,18775
1222,3140
1223,2797
1224,13271
1227,1104
1228,6930
1231,3401
1232,925
1233,1116
1234,920
1235,14425
1238,8475
1241,3876
1242,2443
1243,19742
1244,5118
1245,6975
1246,24870
1247,28380
1251,4125
1252,381
1253,7957
1256,7812
1259,4852
1260,5077
1263,15607
1264,2858
1265,576
1266,1701
1401,11923
1411,2370
1412,785
1413,1395
1416,4161
1417,2689
1418,1294
1419,2298
1420,7839
1421,1764
1422,2172
1424,5359
1426,5093
1428,3023
1429,2830
1430,2942
1431,3020
1432,12900
1433,2840
1438,3846
1439,6046
1441,2774
1443,6015
1444,1200
1445,5784
1449,7168
1502,26732
1504,46747
1505,24526
1511,3256
1514,2559
1515,8972
1516,8430
1517,5189
1519,9037
1520,10677
1523,2310
1524,1652
1525,4598
1526,1020
1528,7675
1529,4620
1531,8952
1532,8094
1534,9200
1535,6611
1539,7492
1543,2970
1545,2088
1546,1270
1547,3518
1548,9717
1551,3467
1554,5826
1557,2593
1560,3103
1563,7160
1566,5969
1567,2036
1571,1547
1573,2141
1576,3536
1601,187353
1612,4260
1613,978
1617,4622
1620,4799
1621,5209
1622,1733
1624,6644
1627,4779
1630,3272
1632,961
1633,976
1634,6886
1635,2562
1636,3954
1638,11779
1640,5635
1644,2031
1648,6298
1653,16096
1657,7755
1662,6067
1663,13738
1664,4132
1665,851
1702,21781
1703,13010
1711,2523
1714,23308
1717,2631
1718,3531
1719,19610
1721,14885
1724,2527
1725,1622
1736,2139
1738,1375
1739,469
1740,867
1742,2466
1743,1250
1744,3825
1748,633
1749,1103
1750,4387
1751,5126
1755,562
1756,6769
1804,50488
1805,18787
1811,1465
1812,2031
1813,7962
1815,1244
1816,507
1818,1743
1820,7437
1822,2216
1824,13427
1825,1462
1826,1465
1827,1402
1828,1838
1832,4486
1833,26039
1834,1923
1835,478
1836,1268
1837,6471
1838,2043
1839,1034
1840,4700
1841,9604
1845,1963
1848,2543
1849,1824
1850,1974
1851,2144
1852,1283
1853,1400
1854,2556
1856,551
1857,765
1859,1336
1860,11198
1865,9350
1866,8082
1867,2632
1868,4529
1870,10214
1871,4980
1874,1062
1902,73480
1903,24695
1911,3029
1913,3041
1917,1403
1919,1137
1920,1051
1922,4019
1923,2230
1924,6741
1925,3452
1926,1158
1927,1543
1928,913
1929,915
1931,11618
1933,5701
1936,2282
1938,2861
1939,1865
1940,2150
1941,2920
1942,4895
1943,1231
2002,2137
2003,6160
2004,10455
2011,2956
2012,20097
2014,951
2015,1054
2017,1035
2018,1215
2019,3276
2020,3978
2021,2668
2022,1318
2023,1139
2024,1000
2025,2922
2027,959
2028,2211
2030,10227
